USTHB
ECOLE SUPERIEURE DES SCIENCES APPLIQUEES D'ALGER
ECOLE SUP. DES SCI. DE L ALIMENT ET DES INDUSTRIES AGROALIMENTAIRES ALGER
ECOLE SUPERIEURE AGRONOMIQUE DE MOSTAGANEM 
ECOLE SUPERIEURE DES SCIENCES BIOLOGIQUES D'ORAN
MR LE SECRETAIRE GENERAL
U.S.T.O.  (ORAN)
E.N.S  ORAN
UNIV. TLEMCEN
UNIV. SIDI BEL ABBES
UNIV.  MOSTAGANEM
UNIV.  SAIDA
UNIV. TIARET
UNIV. BECHAR
UNIV. ADRAR
UNIV. MASCARA
UNIV. TIARET (+A. KSAR CHELLALA)
C. UNIV. TISSEMSILT
C. UNIV.  AIN TEMOUCHENT
C. UNIV. RELIZANE
C. UNIV. NAAMA
C. UNIV. EL BAYADH
C. UNIV. TINDOUF
E.N.S MOSTAGANEM
UNIV. ORAN 1
UNIV. ORAN 2
UNIV. TIARET (+ A. SOUGHEUR)
INSTITUT VETERINAIRE - UNIV. TIARET
ECOLE NORMALE SUPERIEURE DE BECHAR
UNIV. TIARET (+ A.SOUGHEUR+A. KSAR CHELLALA)
C. UNIV MAGHNIA
UNIV. TLEMCEN - I.S.T.A
UNIV. ORAN 1 - I.S.T.A
